rand_point,FID_,Name,timestamp,Field_1,BUFF_DIST,SHAPE_Leng,SHAPE_Area,testDN,testlayer,testpath
151,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,8,Water,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN"" = 8"
152,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
153,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
154,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,4,Shrubs,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 4"
155,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,2,Built-up,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""= 2"
156,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
157,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,,,
158,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
159,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
160,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,,,
161,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
162,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,,,
163,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
164,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,,,
165,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
166,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
167,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,,,
168,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,,,
169,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
170,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,4,Shrubs,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 4"
171,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,2,Built-up,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""= 2"
172,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
173,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
174,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,,,
175,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,4,Shrubs,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 4"
176,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,4,Shrubs,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 4"
177,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,3,Grass,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 3"
178,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,,,
179,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,,,
180,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,8,Water,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN"" = 8"
181,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,3,Grass,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 3"
182,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
183,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
184,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
185,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
186,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
187,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,5,Road/Paved layer,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 5"
188,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,4,Shrubs,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 4"
189,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,,,
190,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,,,
191,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,5,Road/Paved layer,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 5"
192,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,,,
193,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,,,
194,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
195,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,4,Shrubs,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN""  = 4"
196,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
197,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,8,Water,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset=""DN"" = 8"
198,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,7,Trees,"C:/Users/joanw/OneDrive - University of Twente/Desktop/DataMasteryData/campusvector.shp|subset= ""DN"" = 7"
199,3,UT_5,2021/09/02,"<table width=""100%""></table>",300.00000000000,1883.83632790000,282088.97142399999,,,
